,Survived,Pclass,Sex,Age,Parch,Fare,Embarked,Ticket_type,Words_Count,Has_Cabin,FamilySize,IsAlone,Title
0,0,3,1,1,0,0,0,124,4,0,2,0,1
1,1,1,0,2,0,3,1,137,7,1,2,0,3
2,1,3,0,1,0,1,0,148,3,0,1,1,2
3,1,1,0,2,0,3,0,3,7,1,2,0,3
4,0,3,1,2,0,1,0,97,4,0,1,1,1
5,0,3,1,1,0,1,2,72,3,0,1,1,1
6,0,1,1,3,0,3,0,18,4,1,1,1,1
7,0,3,1,0,1,2,0,83,4,0,5,0,4
8,1,3,0,1,2,1,0,81,7,0,3,0,3
9,1,2,0,0,0,2,1,38,5,0,2,0,3
10,1,3,0,0,1,2,0,138,4,1,3,0,2
11,1,1,0,3,0,2,0,3,3,1,1,1,2
12,0,3,1,1,0,1,0,124,4,0,1,1,1
13,0,3,1,2,5,3,0,81,4,0,7,0,1
14,0,3,0,0,0,0,0,84,5,0,1,1,2
15,1,2,0,3,0,2,0,44,5,0,1,1,3
16,0,3,1,0,1,2,2,100,3,0,6,0,4
17,1,2,1,1,0,1,0,43,4,0,1,1,1
18,0,3,0,1,0,2,0,79,7,0,2,0,3
19,1,3,0,1,0,0,1,48,3,0,1,1,3
20,0,2,1,2,0,2,0,39,4,0,1,1,1
21,1,2,1,2,0,1,0,44,3,1,1,1,1
22,1,3,0,0,0,1,2,72,4,0,1,1,2
23,1,1,1,1,0,3,0,3,4,1,1,1,1
24,0,3,0,0,1,2,0,83,4,0,5,0,2
25,1,3,0,2,5,3,0,81,8,0,7,0,3
26,0,3,1,2,0,0,1,47,4,0,1,1,1
27,0,1,1,1,2,3,0,21,4,1,6,0,1
28,1,3,0,1,0,0,2,72,4,0,1,1,2
29,0,3,1,1,0,0,0,83,3,0,1,1,1
30,0,1,1,2,0,2,1,137,4,0,1,1,5
31,1,1,0,1,0,3,1,137,6,1,2,0,3
32,1,3,0,1,0,0,2,74,4,0,1,1,2
33,0,2,1,4,0,1,0,130,4,0,1,1,1
34,0,1,1,1,0,3,1,137,4,0,2,0,1
35,0,1,1,2,0,3,0,3,4,0,2,0,1
36,1,3,1,1,0,0,1,51,3,0,1,1,1
37,0,3,1,1,0,1,0,121,4,0,1,1,1
38,0,3,0,1,0,2,0,79,5,0,3,0,2
39,1,3,0,0,0,1,1,49,3,0,2,0,2
40,0,3,0,2,0,1,0,116,6,0,2,0,3
41,0,2,0,1,0,2,0,4,8,0,2,0,3
42,0,3,1,1,0,0,1,83,3,0,1,1,1
43,1,2,0,0,2,3,1,144,6,0,4,0,2
44,1,3,0,1,0,0,2,72,4,0,1,1,2
45,0,3,1,2,0,1,0,139,4,0,1,1,1
46,0,3,1,2,0,2,2,94,3,0,2,0,1
47,1,3,0,1,0,0,2,14,3,0,1,1,2
48,0,3,1,2,0,2,1,50,3,0,3,0,1
49,0,3,0,1,0,2,0,83,5,0,2,0,3
50,0,3,1,0,1,3,0,66,4,0,6,0,4
51,0,3,1,1,0,0,0,123,4,0,1,1,1
52,1,1,0,3,0,3,1,137,6,1,2,0,3
53,1,2,0,1,0,2,0,64,6,0,2,0,3
54,0,1,1,4,1,3,1,3,4,1,2,0,1
55,1,1,1,2,0,3,0,21,3,1,1,1,1
56,1,2,0,1,0,1,0,130,3,0,1,1,2
57,0,3,1,1,0,0,1,53,3,0,1,1,1
58,1,2,0,0,2,2,0,130,4,0,4,0,2
59,0,3,1,0,2,3,0,131,4,0,8,0,4
60,0,3,1,1,0,0,1,50,3,0,1,1,1
61,1,1,0,2,0,3,0,3,3,1,1,1,2
62,0,1,1,2,0,3,0,93,4,1,2,0,1
63,0,3,1,0,2,2,0,81,3,0,6,0,4
64,0,1,1,1,0,2,1,137,4,0,1,1,1
65,1,3,1,1,1,2,1,50,3,0,3,0,4
66,1,2,0,1,0,1,0,130,4,1,1,1,3
67,0,3,1,1,0,1,0,141,4,0,1,1,1
68,1,3,0,1,2,1,0,66,4,0,7,0,2
69,0,3,1,1,0,1,0,69,3,0,3,0,1
70,0,2,1,1,0,1,0,130,4,0,1,1,1
71,0,3,0,0,2,3,0,131,4,0,8,0,2
72,0,2,1,1,0,3,0,140,4,0,1,1,1
73,0,3,1,1,0,2,1,52,3,0,2,0,1
74,1,3,1,1,0,3,0,16,3,0,1,1,1
75,0,3,1,1,0,0,0,82,4,1,1,1,1
76,0,3,1,2,0,0,0,83,3,0,1,1,1
77,0,3,1,2,0,1,0,98,4,0,1,1,1
78,1,2,1,0,2,2,0,44,4,0,3,0,4
79,1,3,0,1,0,1,0,89,3,0,1,1,2
80,0,3,1,1,0,1,0,79,3,0,1,1,1
81,1,3,1,1,0,1,0,79,4,0,1,1,1
82,1,3,0,1,0,0,2,72,4,0,1,1,2
83,0,1,1,1,0,3,0,3,4,0,1,1,1
84,1,2,0,1,0,1,0,146,3,0,1,1,2
85,1,3,0,2,0,2,0,66,7,0,4,0,3
86,0,3,1,0,3,3,0,150,4,0,5,0,1
87,0,3,1,1,0,1,0,147,4,0,1,1,1
88,1,1,0,1,2,3,0,21,4,1,6,0,2
89,0,3,1,1,0,1,0,78,3,0,1,1,1
90,0,3,1,1,0,1,0,78,3,0,1,1,1
91,0,3,1,1,0,0,0,81,4,0,1,1,1
92,0,1,1,2,0,3,0,151,4,1,2,0,1
93,0,3,1,1,2,2,0,130,4,0,4,0,1
94,0,3,1,3,0,0,0,89,3,0,1,1,1
95,0,3,1,2,0,1,0,98,4,0,1,1,1
96,0,1,1,4,0,3,1,137,4,1,1,1,1
97,1,1,1,1,1,3,1,137,4,1,2,0,1
98,1,2,0,2,1,2,0,34,7,0,2,0,3
99,0,2,1,2,0,2,0,43,3,0,2,0,1
100,0,3,0,1,0,0,0,83,3,0,1,1,2
101,0,3,1,1,0,0,0,83,4,0,1,1,1
102,0,1,1,1,1,3,0,85,4,1,2,0,1
103,0,3,1,2,0,1,0,116,4,0,1,1,1
104,0,3,1,2,0,1,0,66,4,0,3,0,1
105,0,3,1,1,0,0,0,83,3,0,1,1,1
106,1,3,0,1,0,0,0,78,4,0,1,1,2
107,1,3,1,1,0,0,0,67,4,0,1,1,1
108,0,3,1,2,0,0,0,83,3,0,1,1,1
109,1,3,0,1,0,2,2,95,3,0,2,0,2
110,0,1,1,2,0,3,0,0,4,1,1,1,1
111,0,3,0,0,0,2,1,50,3,0,2,0,2
112,0,3,1,1,0,1,0,71,4,0,1,1,1
113,0,3,0,1,0,1,0,106,3,0,2,0,2
114,0,3,0,1,0,2,1,46,3,0,1,1,2
115,0,3,1,1,0,1,0,148,3,0,1,1,1
116,0,3,1,4,0,0,2,94,3,0,1,1,1
117,0,2,1,1,0,2,0,4,5,0,2,0,1
118,0,1,1,1,1,3,1,137,4,1,2,0,1
119,0,3,0,0,2,3,0,81,5,0,7,0,2
120,0,2,1,1,0,3,0,140,4,0,3,0,1
121,0,3,1,2,0,1,0,126,4,0,1,1,1
122,0,2,1,1,0,2,1,38,3,0,2,0,1
123,1,2,0,1,0,1,0,55,3,1,1,1,2
124,0,1,1,3,1,3,0,85,4,1,2,0,1
125,1,3,1,0,0,1,1,49,3,0,2,0,4
126,0,3,1,2,0,0,2,94,3,0,1,1,1
127,1,3,1,1,0,0,0,127,4,0,1,1,1
128,1,3,0,1,1,2,1,50,3,1,3,0,2
129,0,3,1,2,0,0,0,81,3,0,1,1,1
130,0,3,1,2,0,0,1,83,3,0,1,1,1
131,0,3,1,1,0,0,0,147,4,0,1,1,1
132,0,3,0,2,0,2,0,124,7,0,2,0,3
133,1,2,0,1,0,2,0,31,6,0,2,0,3
134,0,2,1,1,0,1,0,130,5,0,1,1,1
135,0,2,1,1,0,2,1,144,3,0,1,1,1
136,1,1,0,1,2,2,0,5,4,1,3,0,2
137,0,1,1,2,0,3,0,3,4,1,2,0,1
138,0,3,1,0,0,1,0,115,4,0,1,1,1
139,0,1,1,1,0,3,1,137,3,1,1,1,1
140,0,3,0,2,2,2,1,51,4,0,3,0,3
141,1,3,0,1,0,0,0,81,4,0,1,1,2
142,1,3,0,1,0,2,0,148,7,0,2,0,3
143,0,3,1,1,0,0,2,90,3,0,1,1,1
144,0,2,1,1,0,1,0,34,4,0,1,1,1
145,0,2,1,1,1,3,0,130,4,0,3,0,1
146,1,3,1,1,0,0,0,84,5,0,1,1,1
147,0,3,0,0,2,3,0,150,5,0,5,0,2
148,0,2,1,2,2,2,0,33,6,1,3,0,1
149,0,2,1,2,0,1,0,43,5,0,1,1,5
150,0,2,1,3,0,1,0,140,4,0,1,1,5
151,1,1,0,1,0,3,0,3,5,1,2,0,3
152,0,3,1,3,0,1,0,122,3,0,1,1,1
153,0,3,1,2,2,2,0,124,5,0,3,0,1
154,0,3,1,2,0,0,0,134,4,0,1,1,1
155,0,1,1,3,1,3,1,137,4,0,2,0,1
156,1,3,0,0,0,0,2,86,4,0,1,1,2
157,0,3,1,1,0,1,0,147,3,0,1,1,1
158,0,3,1,2,0,1,0,69,3,0,1,1,1
159,0,3,1,1,2,3,0,132,4,0,11,0,4
160,0,3,1,2,1,2,0,95,4,0,2,0,1
161,1,2,0,2,0,2,0,130,7,0,1,1,3
162,0,3,1,1,0,0,0,81,4,0,1,1,1
163,0,3,1,1,0,1,0,69,3,0,1,1,1
164,0,3,1,0,1,3,0,66,4,0,6,0,4
165,1,3,1,0,2,2,0,88,6,0,3,0,4
166,1,1,0,2,1,3,0,3,5,1,2,0,3
167,0,3,0,2,4,2,0,81,6,0,6,0,3
168,0,1,1,1,0,2,0,137,4,0,1,1,1
169,0,3,1,1,0,3,0,16,3,0,1,1,1
170,0,1,1,3,0,3,0,1,5,1,1,1,1
171,0,3,1,0,1,2,2,100,3,0,6,0,4
172,1,3,0,0,1,1,0,81,4,0,3,0,2
173,0,3,1,1,0,1,0,148,4,0,1,1,1
174,0,1,1,3,0,2,1,19,4,1,1,1,1
175,0,3,1,1,1,0,0,84,4,0,3,0,1
176,0,3,1,1,1,2,0,106,4,0,5,0,4
177,0,1,0,3,0,2,1,137,4,1,1,1,2
178,0,2,1,1,0,1,0,45,3,0,1,1,1
179,0,3,1,2,0,0,0,135,3,0,1,1,1
180,0,3,0,1,2,3,0,132,4,0,11,0,2
181,0,2,1,2,0,2,1,144,3,0,1,1,1
182,0,3,1,0,2,3,0,81,5,0,7,0,4
183,1,2,1,0,1,3,0,33,4,1,4,0,4
184,1,3,0,0,2,2,0,69,4,0,3,0,2
185,0,1,1,1,0,3,0,3,4,1,1,1,1
186,1,3,0,1,0,2,2,94,6,0,2,0,3
187,1,1,1,2,0,2,0,1,7,0,1,1,1
188,0,3,1,2,1,2,2,89,3,0,3,0,1
189,0,3,1,2,0,0,0,83,3,0,1,1,1
190,1,2,0,1,0,1,0,36,3,0,1,1,3
191,0,2,1,1,0,1,0,59,3,0,1,1,1
192,1,3,0,1,0,0,0,84,5,0,2,0,2
193,1,2,1,0,1,2,0,33,4,1,3,0,4
194,1,1,0,2,0,2,1,137,6,1,1,1,3
195,1,1,0,3,0,3,1,137,3,1,1,1,2
196,0,3,1,1,0,0,2,92,3,0,1,1,1
197,0,3,1,2,1,1,0,107,5,0,2,0,1
198,1,3,0,0,0,0,2,94,4,0,1,1,2
199,0,2,0,1,0,1,0,44,5,0,1,1,2
200,0,3,1,1,0,1,0,79,5,0,1,1,1
201,0,3,1,2,2,3,0,132,3,0,11,0,1
202,0,3,1,2,0,0,0,66,4,0,1,1,1
203,0,3,1,2,0,0,1,46,3,0,1,1,1
204,1,3,1,1,0,1,0,124,4,0,1,1,1
205,0,3,0,0,1,1,0,81,4,1,2,0,2
206,0,3,1,1,0,2,0,66,4,0,2,0,1
207,1,3,1,1,0,2,1,53,4,0,1,1,1
208,1,3,0,0,0,0,2,91,4,0,1,1,2
209,1,1,1,2,0,2,1,2,3,1,1,1,1
210,0,3,1,1,0,0,0,147,3,0,1,1,1
211,1,2,0,2,0,2,0,133,4,0,1,1,2
212,0,3,1,1,0,0,0,124,4,0,1,1,1
213,0,2,1,1,0,1,0,45,4,0,1,1,1
214,0,3,1,2,0,0,2,91,3,0,2,0,1
215,1,1,0,1,0,3,1,85,3,1,2,0,2
216,1,3,0,1,0,1,0,148,3,0,1,1,2
217,0,2,1,2,0,2,0,42,4,0,2,0,1
218,1,1,0,1,0,3,1,6,3,1,1,1,2
219,0,2,1,1,0,1,0,152,3,0,1,1,1
220,1,3,1,0,0,1,0,147,4,0,1,1,1
221,0,2,1,1,0,1,0,27,4,0,1,1,1
222,0,3,1,3,0,1,0,24,4,0,1,1,1
223,0,3,1,2,0,0,0,83,3,0,1,1,1
224,1,1,1,2,0,3,0,21,4,1,2,0,1
225,0,3,1,1,0,1,0,138,5,0,1,1,1
226,1,2,1,1,0,1,0,149,4,0,1,1,1
227,0,3,1,1,0,0,0,124,5,0,1,1,1
228,0,2,1,1,0,1,0,37,4,0,1,1,1
229,0,3,0,1,1,2,0,106,3,0,5,0,2
230,1,1,0,2,0,3,0,93,6,1,2,0,3
231,0,3,1,1,0,0,0,81,4,0,1,1,1
232,0,2,1,3,0,1,0,38,4,0,1,1,1
233,1,3,0,0,2,3,0,81,4,0,7,0,2
234,0,2,1,1,0,1,0,130,5,0,1,1,1
235,0,3,0,2,0,0,0,150,4,0,1,1,2
236,0,2,1,2,0,2,0,51,3,0,2,0,1
237,1,2,0,0,2,2,0,130,4,0,3,0,2
238,0,2,1,1,0,1,0,61,4,0,1,1,1
239,0,2,1,2,0,1,0,145,4,0,1,1,1
240,0,3,0,1,0,2,1,50,3,0,2,0,2
241,1,3,0,1,0,2,2,91,4,0,2,0,2
242,0,2,1,1,0,1,0,150,4,0,1,1,1
243,0,3,1,1,0,0,0,148,4,0,1,1,1
244,0,3,1,1,0,0,1,53,3,0,1,1,1
245,0,1,1,2,0,3,2,21,4,1,3,0,5
246,0,3,0,1,0,0,0,81,5,0,1,1,2
247,1,2,0,1,2,2,0,45,4,0,3,0,3
248,1,1,1,2,1,3,0,5,4,1,3,0,1
249,0,2,1,3,0,2,0,43,4,0,2,0,5
250,0,3,1,1,0,0,0,87,4,0,1,1,1
251,0,3,0,1,1,1,0,81,6,1,3,0,3
252,0,1,1,3,0,2,0,3,4,1,1,1,1
253,0,3,1,1,0,2,0,124,4,0,2,0,1
254,0,3,0,2,2,2,0,94,5,0,3,0,3
255,1,3,0,1,2,2,1,49,6,0,3,0,3
256,1,1,0,1,0,3,1,137,4,0,1,1,3
257,1,1,0,1,0,3,0,0,3,1,1,1,2
258,1,1,0,2,0,3,1,137,3,0,1,1,2
259,1,2,0,3,1,2,0,33,4,0,2,0,3
260,0,3,1,2,0,0,2,102,3,0,1,1,1
261,1,3,1,0,2,3,0,81,5,0,7,0,4
262,0,1,1,3,1,3,0,0,3,1,3,0,1
263,0,1,1,2,0,0,0,2,3,1,1,1,1
264,0,3,0,1,0,0,2,100,3,0,1,1,2
265,0,2,1,2,0,1,0,130,3,0,1,1,1
266,0,3,1,0,1,3,0,66,4,0,6,0,1
267,1,3,1,1,0,0,0,81,4,0,2,0,1
268,1,1,0,3,1,3,0,137,6,1,2,0,3
269,1,1,0,2,0,3,0,137,3,1,1,1,2
270,0,1,1,0,0,2,0,3,3,0,1,1,1
271,1,3,1,1,0,0,0,135,4,0,1,1,1
272,1,2,0,2,1,2,0,45,5,0,2,0,3
273,0,1,1,2,1,2,1,137,4,1,2,0,1
274,1,3,0,1,0,0,2,94,4,0,1,1,2
275,1,1,0,3,0,3,0,13,4,1,2,0,2
276,0,3,0,2,0,0,0,81,4,0,1,1,2
277,0,2,1,2,0,0,0,39,4,0,1,1,1
278,0,3,1,0,1,2,2,100,3,0,6,0,4
279,1,3,0,2,1,2,0,130,5,0,3,0,3
280,0,3,1,4,0,0,2,75,3,0,1,1,1
281,0,3,1,1,0,0,0,81,5,0,1,1,1
282,0,3,1,0,0,1,0,79,4,0,1,1,1
283,1,3,1,1,0,1,0,124,4,0,1,1,1
284,0,1,1,1,0,2,0,3,4,1,1,1,1
285,0,3,1,2,0,1,1,83,3,0,1,1,1
286,1,3,1,1,0,1,0,79,4,0,1,1,1
287,0,3,1,1,0,0,0,83,3,0,1,1,1
288,1,2,1,2,0,1,0,38,3,0,1,1,1
289,1,3,0,1,0,0,2,94,3,0,1,1,2
290,1,1,0,1,0,3,0,20,4,0,1,1,2
291,1,1,0,1,0,3,1,7,6,1,2,0,3
292,0,2,1,2,0,1,1,144,4,1,1,1,1
293,0,3,0,1,0,1,0,83,3,0,1,1,2
294,0,3,1,1,0,0,0,83,3,0,1,1,1
295,0,1,1,2,0,2,1,137,4,0,1,1,1
296,0,3,1,1,0,0,1,53,3,0,1,1,1
297,0,1,0,0,2,3,0,3,4,1,4,0,2
298,1,1,1,2,0,2,0,21,3,1,1,1,1
299,1,1,0,3,1,3,1,137,6,1,2,0,3
300,1,3,0,2,0,0,2,120,6,0,1,1,2
301,1,3,1,2,0,2,2,91,3,0,3,0,1
302,0,3,1,1,0,0,0,135,5,0,1,1,1
303,1,2,0,2,0,1,2,30,4,1,1,1,2
304,0,3,1,0,0,1,0,124,5,0,1,1,1
305,1,1,1,0,2,3,0,3,4,1,4,0,4
306,1,1,0,2,0,3,1,18,3,0,1,1,2
307,1,1,0,1,0,3,1,137,14,1,2,0,3
308,0,2,1,1,0,2,1,136,3,0,2,0,1
309,1,1,0,1,0,3,1,137,4,1,1,1,2
310,1,1,0,1,0,3,1,5,4,1,1,1,2
311,1,1,0,1,2,3,1,137,4,1,5,0,2
312,0,2,0,1,1,2,0,45,5,0,3,0,3
313,0,3,1,1,0,0,0,83,3,0,1,1,1
314,0,2,1,2,1,2,0,133,3,0,3,0,1
315,1,3,0,1,0,0,0,81,4,0,1,1,2
316,1,2,0,1,0,2,0,43,5,0,2,0,3
317,0,2,1,3,0,1,0,62,3,0,1,1,5
318,1,1,0,1,2,3,0,93,4,1,3,0,2
319,1,1,0,2,1,3,1,17,7,1,3,0,3
320,0,3,1,1,0,0,0,124,3,0,1,1,1
321,0,3,1,1,0,0,0,83,3,0,1,1,1
322,1,2,0,1,0,1,2,36,4,0,1,1,2
323,1,2,0,1,1,2,0,44,7,0,3,0,3
324,0,3,1,0,2,3,0,132,5,0,11,0,1
325,1,1,0,2,0,3,1,137,4,1,1,1,2
326,0,3,1,3,0,0,0,79,4,0,1,1,1
327,1,2,0,2,0,1,0,60,5,1,1,1,3
328,1,3,0,1,1,2,0,88,7,0,3,0,3
329,1,1,0,0,1,3,1,1,4,1,2,0,2
330,1,3,0,2,0,2,2,91,3,0,3,0,2
331,0,1,1,2,0,2,0,3,3,1,1,1,1
332,0,1,1,2,1,3,0,137,4,1,2,0,1
333,0,3,1,0,0,2,0,79,5,0,3,0,1
334,1,1,0,1,0,3,0,137,6,0,2,0,3
335,0,3,1,2,0,0,0,83,3,0,1,1,1
336,0,1,1,1,0,3,0,3,4,1,2,0,1
337,1,1,0,2,0,3,1,17,4,1,1,1,2
338,1,3,1,2,0,1,0,118,4,0,1,1,1
339,0,1,1,2,0,3,0,3,4,1,1,1,1
340,1,2,1,0,1,2,0,33,4,1,3,0,4
341,1,1,0,1,2,3,0,21,4,1,6,0,2
342,0,2,1,1,0,1,0,44,4,0,1,1,1
343,0,2,1,1,0,1,0,43,5,0,1,1,1
344,0,2,1,2,0,1,0,32,4,0,1,1,1
345,1,2,0,1,0,1,0,44,4,1,1,1,2
346,1,2,0,2,0,1,0,68,4,0,1,1,2
347,1,3,0,2,0,2,0,103,7,0,2,0,3
348,1,3,1,0,1,2,0,130,5,0,3,0,4
349,0,3,1,2,0,1,0,69,3,0,1,1,1
350,0,3,1,1,0,1,0,114,4,0,1,1,1
351,0,1,1,1,0,3,0,3,4,1,1,1,1
352,0,3,1,0,1,0,1,53,3,0,3,0,1
353,0,3,1,1,0,2,0,83,3,0,2,0,1
354,0,3,1,1,0,0,1,48,3,0,1,1,1
355,0,3,1,1,0,1,0,79,5,0,1,1,1
356,1,1,0,1,1,3,0,3,4,1,2,0,2
357,0,2,0,2,0,1,0,38,4,0,1,1,2
358,1,3,0,1,0,0,2,72,3,0,1,1,2
359,1,3,0,2,0,0,2,72,5,0,1,1,2
360,0,3,1,2,4,2,0,81,3,0,6,0,1
361,0,2,1,1,0,2,1,144,4,0,2,0,1
362,0,3,0,2,1,2,1,53,4,0,2,0,3
363,0,3,1,2,0,0,0,147,3,0,1,1,1
364,0,3,1,1,0,2,2,94,3,0,2,0,1
365,0,3,1,1,0,0,0,129,5,0,1,1,1
366,1,1,0,3,0,3,1,0,7,1,2,0,3
367,1,3,0,1,0,0,1,46,4,0,1,1,3
368,1,3,0,2,0,0,2,14,3,0,1,1,2
369,1,1,0,1,0,3,1,137,4,1,1,1,3
370,1,1,1,1,0,3,1,5,4,1,2,0,1
371,0,3,1,1,0,0,0,66,4,0,2,0,1
372,0,3,1,1,0,1,0,70,4,0,1,1,1
373,0,1,1,1,0,3,1,137,3,0,1,1,1
374,0,3,0,0,1,2,0,83,4,0,5,0,2
375,1,1,0,1,0,3,1,137,6,0,2,0,3
376,1,3,0,1,0,0,0,129,4,0,1,1,2
377,0,1,1,1,2,3,1,3,4,1,3,0,1
378,0,3,1,1,0,0,1,48,3,0,1,1,1
379,0,3,1,1,0,0,0,81,4,0,1,1,1
380,1,1,0,2,0,3,1,137,3,0,1,1,2
381,1,3,0,0,2,2,1,49,4,0,3,0,2
382,0,3,1,1,0,1,0,148,3,0,1,1,1
383,1,1,0,2,0,3,0,3,7,0,2,0,3
384,0,3,1,1,0,0,0,83,3,0,1,1,1
385,0,2,1,1,0,3,0,140,4,0,1,1,1
386,0,3,1,0,2,3,0,131,4,0,8,0,4
387,1,2,0,2,0,1,0,56,3,0,1,1,2
388,0,3,1,1,0,0,2,91,3,0,1,1,1
389,1,2,0,1,0,1,1,143,3,0,1,1,2
390,1,1,1,2,2,3,0,3,4,1,4,0,1
391,1,3,1,1,0,0,0,84,4,0,1,1,1
392,0,3,1,1,0,1,0,66,4,0,3,0,1
393,1,1,0,1,0,3,1,85,3,1,2,0,2
394,1,3,0,1,2,2,0,138,6,1,3,0,3
395,0,3,1,1,0,0,0,84,3,0,1,1,1
396,0,3,0,1,0,0,0,84,3,0,1,1,2
397,0,2,1,2,0,2,0,59,4,0,1,1,1
398,0,2,1,1,0,1,0,43,3,0,1,1,5
399,1,2,0,1,0,1,0,40,6,0,1,1,3
400,1,3,1,2,0,1,0,148,3,0,1,1,1
401,0,3,1,1,0,1,0,76,3,0,1,1,1
402,0,3,0,1,0,1,0,106,4,0,2,0,2
403,0,3,1,1,0,2,0,148,4,0,2,0,1
404,0,3,0,1,0,1,0,69,3,0,1,1,2
405,0,2,1,2,0,2,0,61,3,0,2,0,1
406,0,3,1,3,0,0,0,81,4,0,1,1,1
407,1,2,1,0,1,2,0,63,4,0,3,0,4
408,0,3,1,1,0,0,0,67,5,0,1,1,1
409,0,3,0,2,1,2,0,106,3,0,5,0,2
410,0,3,1,2,0,0,0,83,3,0,1,1,1
411,0,3,1,1,0,0,2,105,3,0,1,1,1
412,1,1,0,2,0,3,2,21,4,1,2,0,2
413,0,2,1,1,0,0,0,39,4,0,1,1,1
414,1,3,1,2,0,1,0,148,4,0,1,1,1
415,0,3,0,1,0,1,0,78,6,0,1,1,3
416,1,2,0,2,1,3,0,58,7,0,3,0,3
417,1,2,0,1,2,1,0,45,4,0,3,0,2
418,0,2,1,1,0,1,0,58,4,0,1,1,1
419,0,3,0,0,2,2,0,79,4,0,3,0,2
420,0,3,1,2,0,0,1,83,3,0,1,1,1
421,0,3,1,1,0,0,2,124,3,0,1,1,1
422,0,3,1,1,0,0,0,69,3,0,1,1,1
423,0,3,0,1,1,1,0,81,8,0,3,0,3
424,0,3,1,1,1,2,0,94,4,0,3,0,1
425,0,3,1,1,0,0,0,123,3,0,1,1,1
426,1,2,0,1,0,2,0,22,7,0,2,0,3
427,1,2,0,1,0,2,0,45,9,0,1,1,2
428,0,3,1,1,0,0,2,89,3,0,1,1,1
429,1,3,1,1,0,1,0,147,5,1,1,1,1
430,1,1,1,1,0,2,0,0,4,1,1,1,1
431,1,3,0,1,0,2,0,99,6,0,2,0,3
432,1,2,0,2,0,2,0,144,7,0,2,0,3
433,0,3,1,1,0,0,0,148,4,0,1,1,1
434,0,1,1,3,0,3,0,13,4,1,2,0,1
435,1,1,0,0,2,3,0,3,4,1,4,0,2
436,0,3,0,1,2,3,0,150,5,0,5,0,2
437,1,2,0,1,3,2,0,63,5,0,6,0,3
438,0,1,1,3,4,3,0,21,3,1,6,0,1
439,0,2,1,1,0,1,0,130,5,0,1,1,1
440,1,2,0,2,1,2,0,133,6,0,3,0,3
441,0,3,1,1,0,1,0,79,3,0,1,1,1
442,0,3,1,1,0,0,0,81,4,0,2,0,1
443,1,2,0,1,0,1,0,33,3,0,1,1,2
444,1,3,1,2,0,1,0,110,3,0,1,1,1
